,participant,Scene Type,Senario ID,Alt ID,Type,AV_location,Left Age,Right Age,Left Gender,Right Gender,choice_made?,choice Left ,choice_Right,hit_Pos,hit_Left,hit_Right,Subject gender,Subject age ,number of activiation,first click time,last click time
0,1,Video,11,11,AGE,L,old,child,male,male,N,0,0,L,1,0,M,23,0,,
1,1,Video,10,10,GENDER,L,old,old,male,female,Y,0,1,R,0,1,M,23,2,1.89,3.04
2,1,Video,3,3,AGE,R,young,old,female,female,N,0,0,R,0,1,M,23,0,,
3,1,Video,2,2,AGE+GENDER,L,young,old,female,male,Y,0,1,R,0,1,M,23,1,4.039,
4,1,Video,13,13,AGE+GENDER,L,old,child,female,male,N,0,0,L,1,0,M,23,0,,
5,1,Video,5,5,AGE,L,young,child,female,female,Y,0,1,R,0,1,M,23,1,4.589,
6,1,Video,4,4,AGE+GENDER,R,child,young,male,female,N,0,0,R,0,1,M,23,0,,
7,1,Video,8,8,AGE,L,child,young,male,male,Y,0,1,R,0,1,M,23,1,4.306,
8,1,Video,1,1,GENDER,R,young,young,male,female,Y,1,0,L,1,0,M,23,1,4.523,
9,1,Video,9,9,AGE+GENDER,R,young,child,male,female,Y,1,0,L,1,0,M,23,1,3.39,
10,1,Video,14,14,AGE+GENDER,R,child,old,female,female,N,0,0,R,0,1,M,23,0,,
11,1,Video,7,7,AGE+GENDER,L,old,young,female,male,N,0,0,L,1,0,M,23,0,,
12,1,Video,16,16,,R,1 child,2 children,1 child,2 children,Y,1,0,L,1,0,M,23,1,2.823,
13,1,Video,12,12,AGE+GENDER,R,child,old,female,male,N,0,0,R,0,1,M,23,0,,
14,1,Video,15,15,GENDER,R,child,child,female,male,N,0,0,R,0,1,M,23,0,,
15,1,Video,6,6,AGE,R,young,old,male,male,N,0,0,R,0,1,M,23,0,,
16,1,Video,5,21,AGE,L,young,child,female,female,N,0,0,L,1,0,M,23,0,,
17,1,Video,6,22,AGE,R,young,old,male,male,N,0,0,R,0,1,M,23,0,,
18,1,Video,3,19,AGE,L,young,old,female,female,Y,0,1,R,0,1,M,23,1,3.585,
19,1,Video,12,28,AGE+GENDER,R,child,old,female,male,N,0,0,R,0,1,M,23,0,,
20,1,Video,7,23,AGE+GENDER,L,old,young,female,male,Y,1,0,L,1,0,M,23,8,1.589,6.006
21,1,Video,13,29,AGE+GENDER,R,old,child,female,male,Y,1,0,L,1,0,M,23,1,1.839,
22,1,Video,15,31,GENDER,L,child,child,female,male,Y,0,1,R,0,1,M,23,1,4.073,
23,1,Video,14,30,AGE+GENDER,R,child,old,female,female,N,0,0,R,0,1,M,23,0,,
24,1,Video,11,27,AGE,R,old,child,male,male,Y,1,0,L,1,0,M,23,1,1.056,
25,1,Video,4,20,AGE+GENDER,R,child,young,male,female,Y,0,1,R,0,1,M,23,2,1.334,3.601
26,1,Video,8,24,AGE,L,child,young,male,male,Y,0,1,R,0,1,M,23,1,3.606,
27,1,Video,1,17,GENDER,R,young,young,male,female,Y,1,0,L,1,0,M,23,2,1.535,3.851
28,1,Video,16,32,,R,1 child,2 children,1 child,2 children,Y,1,0,L,1,0,M,23,1,2.739,
29,1,Video,10,26,GENDER,R,old,old,male,female,N,0,0,R,0,1,M,23,0,,
30,1,Video,2,18,AGE+GENDER,R,young,old,female,male,N,0,0,R,0,1,M,23,0,,
31,1,Video,9,25,AGE+GENDER,R,young,child,male,female,Y,1,0,L,1,0,M,23,1,1.789,
32,2,Video,12,12,AGE+GENDER,L,child,old,female,male,Y,0,1,R,0,1,F,22,2,4.455,4.921
33,2,Video,2,2,AGE+GENDER,R,young,old,female,male,Y,0,1,R,0,1,F,22,2,3.89,5.74
34,2,Video,1,1,GENDER,L,young,young,male,female,Y,1,0,L,1,0,F,22,1,6.74,
35,2,Video,11,11,AGE,R,old,child,male,male,Y,1,0,L,1,0,F,22,2,2.507,2.973
36,2,Video,13,13,AGE+GENDER,R,old,child,female,male,Y,1,0,L,1,0,F,22,2,3.69,4.223
37,2,Video,8,8,AGE,R,child,young,male,male,Y,1,0,L,1,0,F,22,2,5.391,5.991
38,2,Video,15,15,GENDER,L,child,child,female,male,Y,0,1,R,0,1,F,22,2,4.924,5.39
39,2,Video,16,16,,R,1 child,2 children,1 child,2 children,Y,1,0,L,1,0,F,22,1,4.273,
40,2,Video,5,5,AGE,R,young,child,female,female,Y,0,1,R,0,1,F,22,1,5.289,
41,2,Video,4,4,AGE+GENDER,L,child,young,male,female,Y,1,0,L,1,0,F,22,2,4.023,5.457
42,2,Video,10,10,GENDER,R,old,old,male,female,Y,1,0,L,1,0,F,22,4,4.023,6.24
43,2,Video,9,9,AGE+GENDER,R,young,child,male,female,Y,0,1,R,0,1,F,22,1,3.771,
44,2,Video,14,14,AGE+GENDER,L,child,old,female,female,Y,0,1,R,0,1,F,22,3,3.506,4.323
45,2,Video,6,6,AGE,L,young,old,male,male,Y,0,1,R,0,1,F,22,2,3.389,3.772
46,2,Video,3,3,AGE,L,young,old,female,female,Y,0,1,R,0,1,F,22,3,2.555,4.022
47,2,Video,7,7,AGE+GENDER,R,old,young,female,male,Y,1,0,L,1,0,F,22,3,2.605,3.605
48,2,Video,9,25,AGE+GENDER,R,young,child,male,female,Y,0,1,R,0,1,F,22,1,4.005,
49,2,Video,16,32,,R,1 child,2 children,1 child,2 children,Y,1,0,L,1,0,F,22,3,2.689,5.689
