,participant,Scene type,Type,Scene number,SS Latency,BP Latency
0,19,Video,AG,14,40143.0,41595.0
1,19,Video,control,16,45177.0,46615.0
2,19,Video,AG,2,50592.0,52355.0
3,19,Video,A,5,55887.0,57405.0
4,19,Video,AG,4,61383.0,62845.0
5,19,Video,AG,12,67053.0,68831.0
6,19,Video,A,3,72813.0,73951.0
7,19,Video,AG,13,77892.0,79551.0
8,19,Video,A,6,83538.0,84676.0
9,19,Video,A,11,88911.0,89957.0
10,19,Video,A,8,94206.0,95042.0
11,19,Video,G,1,99552.0,100952.0
12,19,Video,AG,9,105243.0,106427.0
13,19,Video,G,15,110457.0,111542.0
14,19,Video,G,10,115698.0,116763.0
15,19,Video,AG,7,121146.0,122543.0
16,19,Video,A,3,126951.0,127743.0
17,19,Video,AG,4,131811.0,132809.0
18,19,Video,AG,9,137016.0,137804.0
19,19,Video,control,16,141702.0,143069.0
20,19,Video,AG,14,147558.0,148509.0
21,19,Video,AG,2,152397.0,153834.0
22,19,Video,A,5,157671.0,159114.0
23,19,Video,A,6,163047.0,163969.0
24,19,Video,A,8,168042.0,168859.0
25,19,Video,AG,12,173226.0,174444.0
26,19,Video,AG,13,178767.0,179499.0
27,19,Video,AG,7,183642.0,184914.0
28,19,Video,A,11,189138.0,189944.0
29,19,Video,G,10,194268.0,195109.0
30,19,Video,G,15,199941.0,201084.0
31,19,Video,G,1,205416.0,206744.0
32,18,Video,A,3,41700.0,43348.0
33,18,Video,A,6,48000.0,49183.0
34,18,Video,G,1,53520.0,55468.0
35,18,Video,control,16,59580.0,60948.0
36,18,Video,G,10,64860.0,66743.0
37,18,Video,G,15,71037.0,72873.0
38,18,Video,AG,7,76500.0,78733.0
39,18,Video,AG,14,82260.0,83488.0
40,18,Video,AG,13,87360.0,89583.0
41,18,Video,A,8,93000.0,94518.0
42,18,Video,AG,9,98700.0,100434.0
43,18,Video,A,5,104175.0,106134.0
44,18,Video,AG,4,109830.0,111434.0
45,18,Video,A,11,114840.0,116399.0
46,18,Video,AG,2,120465.0,122699.0
47,18,Video,AG,12,126345.0,128734.0
48,18,Video,AG,13,131730.0,133064.0
49,18,Video,AG,4,136842.0,0.0
50,18,Video,G,15,141960.0,142439.0
51,18,Video,AG,14,148020.0,149689.0
52,18,Video,AG,9,153090.0,0.0
53,18,Video,A,6,157860.0,159229.0
54,18,Video,AG,2,163047.0,164904.0
55,18,Video,A,11,168675.0,170189.0
56,18,Video,A,5,174171.0,175519.0
57,18,Video,AG,12,179640.0,181584.0
58,18,Video,G,10,185430.0,187099.0
59,18,Video,control,16,191130.0,192714.0
60,18,Video,A,3,196140.0,197559.0
61,18,Video,G,1,201120.0,202890.0
62,18,Video,AG,7,206850.0,208755.0
63,18,Video,A,8,212265.0,213745.0
64,8,Video,A,6,35700.0,36795.0
65,8,Video,A,11,40977.0,42095.0
66,8,Video,AG,7,46299.0,47355.0
67,8,Video,AG,2,52089.0,53950.0
68,8,Video,AG,12,57528.0,0.0
69,8,Video,AG,9,63201.0,64500.0
70,8,Video,G,10,68100.0,0.0
71,8,Video,AG,4,73800.0,74905.0
72,8,Video,A,3,78900.0,79970.0
73,8,Video,AG,13,83898.0,84790.0
74,8,Video,control,16,89130.0,90575.0
75,8,Video,G,15,94050.0,0.0
76,8,Video,AG,14,99360.0,100375.0
77,8,Video,A,5,104100.0,105120.0
78,8,Video,A,8,109341.0,110425.0
79,8,Video,G,1,114810.0,117020.0
80,8,Video,G,15,120600.0,0.0
81,8,Video,control,16,126468.0,128100.0
82,8,Video,AG,9,131466.0,132479.0
83,8,Video,AG,12,136332.0,137374.0
84,8,Video,A,11,141660.0,142699.0
85,8,Video,A,5,147000.0,148284.0
86,8,Video,G,1,152868.0,154674.0
87,8,Video,AG,2,158460.0,159344.0
88,8,Video,AG,13,163800.0,164839.0
89,8,Video,G,10,169110.0,170989.0
90,8,Video,AG,7,174540.0,175574.0
91,8,Video,A,8,180300.0,180929.0
92,8,Video,AG,4,185166.0,186229.0
93,8,Video,AG,14,190050.0,190929.0
94,8,Video,A,6,195300.0,196144.0
95,8,Video,A,3,200130.0,200779.0
96,14,Video,G,15,42900.0,0.0
97,14,Video,A,11,48900.0,49942.0
98,14,Video,AG,12,54600.0,56232.0
99,14,Video,A,8,60300.0,61757.0
100,14,Video,AG,14,65700.0,67082.0
101,14,Video,AG,9,70800.0,0.0
102,14,Video,AG,13,75900.0,77616.0
103,14,Video,AG,7,81300.0,0.0
104,14,Video,A,5,86700.0,88286.0
105,14,Video,A,3,92100.0,0.0
106,14,Video,A,6,96900.0,0.0
107,14,Video,control,16,102000.0,0.0
108,14,Video,AG,2,107100.0,108276.0
109,14,Video,G,1,112500.0,114191.0
110,14,Video,AG,4,117900.0,0.0
111,14,Video,G,10,122700.0,0.0
112,14,Video,AG,13,128100.0,129596.0
